CITY,OBJECTID,DZCODE,CITY_NAME_,CITY_NAME2,dzcode_1,coord_long,coord_lat,pos_x,pos_y,cityclass,Area_km2,Shape_Length,Shape_Area,Cohesion,nCohesion,Cohesion_km,Proximity,nProximity,Spin,nSpin,Range,nRange
530500,245,5305,Baoshan,Baoshan,5305,99.17,25.1,4806,6876,0,30.53556263,22160.88981,30535562.63,2986.045242,0.945305389,2.986045242,2195.835404,0.94653567,5594983.441,0.868614855,8418.433313,0.740673398
371200,202,3712,Laiwu,Laiwu,3712,117.67,36.22,8288,4496,0,31.06921447,22459.25899,31069214.47,2921.361893,0.974642467,2.921361893,2143.697668,0.977992233,5251283.404,0.941640106,8145.957682,0.772107989
220800,162,2208,Baicheng,Baicheng,2208,122.83,45.62,8910,2350,0,31.15084694,21970.86838,31150846.94,2943.665078,0.968527792,2.943665078,2161.412193,0.971250235,5357076.322,0.925469598,7670.473739,0.821046589
450300,65,4503,Guilin,Guilin,4503,110.08,25.2,6971,6971,0,31.29062899,22240.26398,31290628.99,2933.794345,0.973964289,2.933794345,2150.352708,0.978433358,5283039.922,0.942650131,8332.266797,0.757528608
231100,91,2311,Heihe,Heihe,2311,127.5,50.24,9438,1258,0,32.01345511,24861.77944,32013455.11,3165.936049,0.912913628,3.165936049,2321.601967,0.916668517,6405890.902,0.795377209,9539.274275,0.66927715
210600,172,2106,Dandong,Dandong,2106,124.33,40.15,9312,3509,0,32.40771578,25520.0262,32407715.78,3496.936657,0.8315761,3.496936657,2588.073516,0.827335018,8144868.524,0.633263526,10671.76177,0.601926063
360500,159,3605,Xinyu,Xinyu,3605,114.89,27.8,7897,6380,0,32.74061932,22076.19869,32740619.32,2977.587254,0.981622495,2.977587254,2189.395791,0.982998762,5450879.623,0.955961563,7801.287085,0.827622415
420900,123,4209,Xiaogan,Xiaogan,4209,113.92,30.93,7683,5702,0,32.96747252,23562.17421,32967472.52,3052.977711,0.960693266,3.052977711,2239.687372,0.964249072,5800067.159,0.9046337,9516.081845,0.680831619
360800,153,3608,Ji'an,Ji'an,3608,114.95,27.09,7917,6535,0,33.29104108,22969.93448,33291041.08,3026.734599,0.97376666,3.026734599,2223.046798,0.976222668,5657027.054,0.936610997,8274.813302,0.786793102
620600,49,6206,Wuwei,Wuwei,6206,102.64,37.9,5704,4129,0,33.5582707,22575.61656,33558270.7,3055.37878,0.968501466,3.05537878,2246.505165,0.969898236,5785045.487,0.923236416,8330.439407,0.784669796
421200,122,4212,xianning,Xianning,4212,114.32,29.85,7768,5936,0,33.74260406,23130.65011,33742604.06,3169.10167,0.936307882,3.16910167,2320.236304,0.941652979,6279309.806,0.855237661,9111.861716,0.719345013
420300,118,4203,Shiyan,Shiyan,4203,110.78,32.65,7097,5336,0,34.54497221,23696.20782,34544972.21,3171.674802,0.946606159,3.171674802,2332.901306,0.947610496,6307956.07,0.871598189,8597.049784,0.771432695
360200,154,3602,Jingdezhen,Jingdezhen,3602,117.19,29.27,8316,6032,3,34.89822402,23082.62386,34898224.02,3123.298575,0.966170368,3.123298575,2299.575922,0.966246013,6075747.241,0.914163252,8618.658377,0.773422952
